x1,x2,y
2.307583525054046181e+00,2.692370417356787504e-01,1.000000000000000000e+00
1.009068582125371538e+00,7.355658476782116484e-01,0.000000000000000000e+00
2.536229158221734448e-01,-1.400228717423185332e-02,1.000000000000000000e+00
1.860159324148524362e+00,3.851583671170960566e-01,1.000000000000000000e+00
4.232243370526985737e-01,3.599295029131078238e-01,0.000000000000000000e+00
1.481820570484950972e+00,6.823171497523509155e-01,0.000000000000000000e+00
1.559910245555998776e+00,-7.118896390701502375e-01,1.000000000000000000e+00
1.170682251926944195e+00,4.560761644359855316e-01,0.000000000000000000e+00
-1.028100036335210521e-01,7.037543455813566329e-01,0.000000000000000000e+00
1.551720844112820741e+00,-2.547621949687848830e-01,1.000000000000000000e+00
3.098678795679056241e-01,1.287509987070067918e-02,1.000000000000000000e+00
6.899497825497972192e-01,1.036761830568075915e+00,0.000000000000000000e+00
2.303730499681354571e-01,6.730956577361228987e-01,0.000000000000000000e+00
2.726286012981973816e-01,-1.281698208089699254e+00,1.000000000000000000e+00
2.392705430440879244e+00,-4.074680339362450887e-01,1.000000000000000000e+00
6.027393606804501425e-02,3.623283158362930467e-01,1.000000000000000000e+00
1.059945512829822967e-01,1.017989138413120553e+00,0.000000000000000000e+00
-3.676750631171297745e-01,9.762240443872538531e-01,0.000000000000000000e+00
8.991910954518393950e-01,8.197765773332661432e-01,0.000000000000000000e+00
7.902332115926944400e-01,4.600111866705852148e-01,1.000000000000000000e+00
5.565999489826399804e-01,4.223813863150980841e-01,0.000000000000000000e+00
2.342957323890403565e+00,3.714774783380777601e-01,1.000000000000000000e+00
5.819496757315478774e-01,5.842594817037425337e-01,1.000000000000000000e+00
-1.172540185128142287e+00,7.430646591289475911e-01,0.000000000000000000e+00
2.196868344682771479e+00,6.191606945373484550e-01,1.000000000000000000e+00
1.515832544400863791e+00,4.109267666325442381e-01,1.000000000000000000e+00
4.396986684545123314e-02,-4.441967835460887137e-01,1.000000000000000000e+00
1.597674260135791169e+00,-9.719477986538372916e-01,1.000000000000000000e+00
1.288319944936044736e+00,-7.388400743838920981e-01,1.000000000000000000e+00
1.512545793243868175e+00,2.397054095589006284e-01,1.000000000000000000e+00
1.781300556438421889e+00,-7.701140527882568421e-01,1.000000000000000000e+00
3.958022727693289444e-01,9.403638333914433600e-01,0.000000000000000000e+00
2.845572430196315894e-01,1.266474793842112367e+00,0.000000000000000000e+00
6.494664029763235202e-01,4.127983255174943467e-01,0.000000000000000000e+00
5.712919093773072277e-02,1.453633976014895746e+00,0.000000000000000000e+00
2.099634034659383364e+00,3.935965936087494899e-01,1.000000000000000000e+00
-1.045228443012520048e+00,4.893345864434683889e-03,0.000000000000000000e+00
-3.783653571380491965e-01,1.031737411647958513e+00,0.000000000000000000e+00
1.936537133831538471e+00,8.015543468876638045e-01,1.000000000000000000e+00
1.407124404092998438e+00,9.222371733516676606e-02,1.000000000000000000e+00
1.147386878460530557e+00,-7.600857547070249964e-01,1.000000000000000000e+00
1.660885084197915584e-01,-4.334649868455718313e-01,1.000000000000000000e+00
4.930844926324773336e-02,3.859144731014498841e-01,1.000000000000000000e+00
1.134190997752575036e+00,-4.520789599598530328e-01,1.000000000000000000e+00
-7.792038567629927526e-02,7.074279532480414190e-01,1.000000000000000000e+00
2.124235672885873782e+00,-4.513198992547445831e-01,1.000000000000000000e+00
-4.133219173058617080e-01,4.088854369680245404e-01,0.000000000000000000e+00
-4.248351985262072139e-01,2.400550137406377155e-02,0.000000000000000000e+00
1.442531641931377173e+00,3.086552597205345361e-01,0.000000000000000000e+00
1.180944456799993963e-01,-6.160792819093375838e-01,1.000000000000000000e+00
3.701051090919177944e-01,1.324723861779836254e-02,1.000000000000000000e+00
